Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
40,150,100,50,0.0001,mse,0.5355
60,100,100,150,0.0001,mse,0.5361
100,300,200,100,0.0001,mse,0.5363
40,100,20,10,0.0001,mse,0.5375
40,300,40,10,0.0001,mse,0.5375
40,150,200,50,0.0001,mse,0.5378
40,100,80,100,0.0001,mse,0.5379
60,100,60,10,0.0001,mse,0.5387
100,100,40,10,0.0001,mse,0.5387
40,300,20,30,0.0001,mse,0.5390
40,300,200,10,0.0001,mse,0.5394
80,150,80,30,0.0001,mse,0.5395
100,150,80,10,0.0001,mse,0.5406
40,300,20,50,0.0001,mse,0.5418
40,300,80,100,0.0001,mse,0.5423
60,300,20,30,0.0001,mse,0.5459
100,300,60,100,0.0001,mse,0.5476
40,100,80,200,0.0001,mse,0.5485
40,100,20,150,0.0001,mse,0.5497
40,100,20,100,0.0001,mse,0.5525
80,300,40,10,0.0001,mse,0.5567
40,150,60,50,0.0001,mse,0.5568
40,150,100,30,0.0001,mse,0.5573
40,300,80,50,0.0001,mse,0.5575
40,150,200,10,0.0001,mse,0.5616
40,150,100,10,0.0001,mse,0.5631
40,100,100,100,0.0001,mse,0.5638
40,150,20,100,0.0001,mse,0.5638
40,300,100,10,0.0001,mse,0.5688
40,100,60,10,0.0001,mse,0.5691
100,150,200,10,0.0001,mse,0.5696
40,150,80,10,0.0001,mse,0.5699
40,300,20,10,0.0001,mse,0.5701
40,100,40,150,0.0001,mse,0.5720
40,150,40,10,0.0001,mse,0.5733
40,300,60,10,0.0001,mse,0.5764
60,100,100,10,0.0001,mse,0.5768
100,150,60,10,0.0001,mse,0.5781
40,100,200,30,0.0001,mse,0.5782
40,300,40,100,0.0001,mse,0.5792
40,300,100,200,0.0001,mse,0.5808
60,300,40,100,0.0001,mse,0.5818
80,300,200,150,0.0001,mse,0.5902
80,100,200,10,0.0001,mse,0.5918
40,150,60,10,0.0001,mse,0.6024
40,150,20,10,0.0001,mse,0.6057
100,300,40,10,0.0001,mse,0.6124
60,100,200,10,0.0001,mse,0.6183
80,100,20,10,0.0001,mse,0.6234
40,100,200,10,0.0001,mse,0.6464
80,100,80,10,0.0001,mse,0.8004
100,100,80,10,0.0001,mse,0.8486
20,300,80,10,0.0001,mse,0.8550
20,150,20,30,0.0001,mse,0.8628
100,100,20,10,0.0001,mse,0.8688
20,300,200,200,0.0001,mse,0.8896
20,100,80,100,0.0001,mse,0.9101
20,150,200,30,0.0001,mse,0.9166
20,150,60,50,0.0001,mse,0.9188
20,150,40,30,0.0001,mse,0.9356
